"DECL","PERIOD","PRCCODE","PRCCODE_LABEL","INDICATORS","Value","Flag and Footnotes"
"Denmark","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","74,746,647",""
"Greece","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","1,305,836",""
"Portugal","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","23,832,707",""
"Spain","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","166,224,528",""
"Belgium","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","26,660,650",""
"Luxemburg","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","0",""
"Iceland","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL",":",""
"Norway","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","340,243,078",""
"Sweden","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","54,613,529",""
"Finland","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","30,955,391",""
"Austria","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","21,880,600",""
"Malta","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","0",""
"Estonia","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","3,331,331",""
"Latvia","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL",":",""
"Lithuania","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","1,013,931",""
"Poland","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","90,919,279",""
"Czech Republic","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","19,296,480",""
